Location	Text on Tile	Action	Price	Rent	Rent with Upgrade	Upgrade Cost	RGB Led	Description Text	Rent/Payment Text	Upgrade Text
23	Neon Cactus	0	220	18	90	150	45	Every week the Neon Cactus brings you the most variety of entertainment under one roof! With over 22,000 square feet the Neon Cactus provides something for almost anyone to enjoy!... Combine the largest dance floor with fantastic in-house DJs and you have no reason not to dance all night long! Pool tables, darts and over a dozen televisions, including 4 large projection screens make every seat in the main room a GREAT ONE to catch up on the days events and watch sports while they happen! SOCIAL! with Bruce 'The Piano Man' Barker in the Rusty Bucket and enjoy AND participate in the area's longest running live act!	Hope you enjoyed your night! Pay your tab of {} before you leave!	Thursday nights are going so well, invest $150 on another employee and collect a cover charge. Players will now spend $90 at the Neon Cactus.
24	Harry's Chocolate Shop	0	240	20	100	150	44,43,42	In 1919, Harry J. Marack opened Harry's Chocolate Shop at 329 West State Street in West Lafayette, Indiana. The Marack family operated the Chocolate Shop as the only Soda Fountain near Purdue University well into the 1920s. Primarily serving fountain drinks and luncheonette items, they acquired a license to serve beer and subsequently liquor. Opened as a family business in 1919, it has operated as so for more than 80 years at the same corner of State and Pierce Streets.	Hope you enjoyed your night at the Chocolate Shop! Pay your tab of {} before you leave!	Credit card fees are high, invest $150 to implement a $10 minimum on all credit purchases. Players will now spend $100 at Harry's Chocolate Shop.
25	Outer Loop	3	200	0	0	0	41	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 27 Outer Loop runs every 10 minutes Monday-Friday 8:10 a.m.-6:20 p.m. The route runs counterclockwise around campus. Destinations along this route include Rawls Hall, Wang Hall, Cary Quad, Ford Dining Court, Owen Hall, Córdova Recreational Sports Center, Hillenbrand Hall, Harrison Hall, McCutcheon Hall, Purdue Village, Discovery Lot and Lynn Hall.	Thanks for riding the Outer Loop! Pay {} for bus fare.	0
26	Elliot Hall of Music	0	260	22	110	150	40	A grande dame of concert halls. Elliott Hall of Music is regal and understated. It's a venue that energizes the glamour of a theatrical production or the simplicity of a renowned author's book talk. Purdue Convocations presents Broadway musicals, operas, ballets, rock, country and pop groups, as well as comedians, lecturers and symphonies on the Elliott Hall stage. Elliott Hall is filled with the spirit of the many legends who have graced its stage -- from Bob Hope to the Dalai Lama, Robin WIlliams to Maya Angelou.	Students might get the occasional discount, but concert tickets aren't cheap! Pay ${} for tickets at Elliot Hall of Music!	Having performances by local talent is all well and good, but nothing draws in a crowd like someone famous! Spend $150 to hire and host prominent luminaries to draw in a full house for every showing. Players will now spend $110 at Elliot Hall of Music.
27	Ross-Aide Stadium	0	260	22	110	150	38	Nestled on the northern edge of the Purdue University campus, venerable Ross-Ade Stadium celebrates its 94th season as the home of Boilermaker football in 2017. Ross-Ade was dedicated Nov. 22, 1924, in a game against intrastate rival Indiana, which the Boilermakers won 26-7. The stadium is named for its two principal benefactors, alumni David E. Ross and George Ade, who presented to the university the 65-acre tract on which the stadium is located. In 2006, a cold-tolerant strain of Bermuda grass was installed in Ross-Ade, making it the first Big Ten Conference stadium with such a surface. The South End Zone Patio, which features tailgate food and beverages in an attractive 16,000-square foot area, opened in 2014 and is available to football season-ticket holders and Purdue students who are members of the Ross-Ade Brigade.	The team might not be the greatest in the nation, but buying tickets and watching a home game is great for School Spirit! Spend ${} on football tickets!	Football is not doing great, invest $150 and make students buy Football Tickets with their Basketball Tickets. Players will now spend $110 at Ross-Aide Stadium.
28	Groceries	2	150	0	0	0	37	Time to buy groceries! This cost you $150		0
29	Mackey Arena	0	280	24	120	150	36	Purdue teams have won nearly 80 percent of the games played in Mackey, and through the 2016-17 season, the men's program boasted a 606-138 record (.815 winning percentage) and the women's program a 431-143 record (.751 winning percentage).Originally named Purdue Arena, groundbreaking for the circular concrete and steel structure with a domed roof took place July 20, 1965. It was hailed as 'the first of its kind among collegiate sports facilities.' The $6 million project took just over two years to complete and was dedicated Dec. 2, 1967, with a ceremony that included recognizing 10 former Boilermaker All-Americans, led by John Wooden and Charles 'Stretch' Murphy, and a speech by Indiana governor Roger Branigin.	Basketball at Purdue is always a fun show, and Mackey Arena is an amazing place to watch our athletes. Spend ${} on basketball tickets. Go Boilermakers!	Basketball is not doing great, invest $150 in a new coach. Players will now spend $120 at Mackey Arena.
30	Go To Open Lab	4	0	0	0	0	35,34,33	Go to open lab. Go directly to open lab. Do not pass Go. Do not collect $200.		0
31	Grant Street Station	0	300	26	130	200	32	Luxury Apartments near Purdue. Fully furnished apartments that include granite countertops, stainless steel appliances, in-unit washer and dryer, and a private parking garage. Grant Street Station is located at the corner of S. Grant Street and Harrison Street, minutes from the Purdue Memorial Union and Stewart Center. Park your car in our secured garage and stay protected from the weather! The Grant Street Station experience includes a pool, hot tubs, a 24-hour fitness center and tanning bed.	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at Grant Street Station.
32	Chauncey Square	0	300	26	130	200	31	Walk to class - and everything else when you live at Chauncey Square! THE best location. Stay-fit amenities. Tools that help you make the grade. And community events that keep you connected with friends. All make Chauncey Square the premier student housing choice at Purdue University. Get the lifestyle you want with our fully furnished apartments with private bedroom and bathroom floor plan options, 24-hour, state-of-the-art fitness center and Academic Success Center! Plus, our professional on-site management and staff dedicated to serving your needs and helping you enjoy your college experience at Purdue University. 	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at Chauncey Square.
33	Community Chest	5	150	0	0	0	30	Community Chest!		0
34	Fuse Apartments	0	320	28	150	200	29,28,27	Living at Fuse puts you in the middle of all the action and is just steps from the Purdue Campus and Mackey Arena! The vibrant and historic downtown Lafayette includes quaint coffee shops, restaurants, bars, shopping and the state's oldest drive-through restaurant. Fuse offers studio, one-, two-, three-, and four-bedroom floor plans. Each apartment home comes fully furnished in modern design including stainless steel appliances, quartz countertops, hardwood-style floors, and more. Additionally, Fuse offers community amenities unbeatable anywhere else in Lafayette including a fully equipped gym, yoga studio, free bike rental, retail on the first floor and more!	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at the Fuse.
35	Black Loop	3	200	0	0	0	26	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 14 Black Loop operates every 30 minutes Sunday through Saturday, 5:25 p.m.-11:45 p.m. This loop provides a safe way to travel at night to and from campus. Destinations along this route include Tower Acres, Córdova Recreational Sports Center, Cary Quad, Armstrong Hall, Physics, Purdue Memorial Union, Stewart Center, Purdue Police Department, Discovery Learning Research Center, Discovery Parking Lot and Purdue Village.	Thanks for riding the Black Loop! Pay {} for bus fare.	0
36	Chance	1	0	0	0	0	25	Chance!		0
37	Follets Bookstore	0	350	35	175	200	23	You need a campus store partner that shares your mission, understands your reality, and demonstrates a successful past and visionary future. As the largest college store operator in North America, Follet's serves 5 million students across nearly 1,200 stores - fueling education everywhere learning takes place. This broad perspective enables Follett's to move beyond the traditional campus bookstore to serve as a gateway to knowledge and enhance the campus experience for students.	Time to prepare for a new semester, and you need new textbooks. Spend ${} on getting all the books you need for all your classes.	A Professor has decided they are going to teach from the textbook that they wrote. Spend $200 on buying the new textbooks. Players now spend $175 at Follet's Purdue West Bookstore.
38	Chegg Account	2	100	0	0	0	22	School is hard. Pay $100 to keep your Chegg account		0
39	University Bookstore	0	400	50	200	200	21	When you need the book today, the Purdue University Bookstore may be your best bet. Located near the Union and the Stadium, the University Bookstore not only is a great place for students to find their textbooks, but also to buy Purdue apparel, souvenirs, as well as graduation gifts and frames.The choices for students at Purdue University has never been more abundant or more convenient!	Time to prepare for a new semester, and you need new textbooks. Spend ${} on getting all the books you need for all your classes.	The Professor is requiring their students to have the newest version of their textbooks. This new edition of the book is exactly the same as the edition released last year... only with different page numbers. Invest $200 on buying the new edition. Players will now spend $200 on buying the newest edition of their textbook.
